Nombre,Título Original,Versión/Subtítulo,Año,Duración,Categoría de Scoring,Instrumentación Detallada,Fecha de Estreno,Lugar de Estreno,Ciudad de Estreno,Intérpretes del Estreno,Encargos / Ayudas,Notas Adicionales
César Camarero,TRAYECTO LÍQUIDO,-,1998,8',Dúo,"sax alto, aco",19-12-1998,Conservatorio de Sevilla,"Sevilla, España","J. Librado, Á.L. Castaño",N/D,Estreno en Jornadas Internacionales de Saxofón.
César Camarero,LUZ AZUL,Versión trío,1998,8'30'',Trío,"vln, vcl, pno",01-04-1999,Philadelphia Ethical Society,"Filadelfia, EE.UU.",Trío Arbós,N/D,N/D
César Camarero,ESTRATOS,-,1998,10',Ensemble,"sax alto, 4 perc",20-04-1998,Palau de la Música,"Valencia, España","H. Bok, M. Bernat, Grupo Amores",N/D,N/D
César Camarero,LUZ AZUL,Versión acordeón,1998,8'30'',Solo,aco,20-09-1998,Festival de Alicante,"Alicante, España",Ángel Luis Castaño,N/D,N/D
César Camarero,CANTUS,-,1997,5',Ensemble,"4 vln, 4 vla, 4 vcl (o 12 aco)",26-09-1999,Radio France,"París, Francia","Le Banquet-Orchestra, dir. O. Dejours",N/D,N/D
César Camarero,CÁMARA LENTA,-,1997,8'30'',Vocal,"sop, fl, aco, perc",25-06-2003,Auditorio Nacional,"Madrid, España","Plural Ensemble, dir. Fabián Panisello",N/D,Poemas de Sebastián Díaz Eresma. Premio Bienal Hannover 1997.
César Camarero,SOLO,-,1996,2',Solo,guit,1996,Gira de conciertos,N/D,Marco Socías,C. Colien-Honegger,N/D
César Camarero,AL BORDE DE LAS CONSTELACIONES,-,1996,10',Coral,4 grupos corales espacializados,05-05-2001,Festival Ensems,"Valencia, España",Cor de la Generalitat Valenciana,N/D,Poemas de V. Huidobro. 1er Premio Guido d'Arezzo 1998.
César Camarero,LA MEMORIA DEL AGUA,-,1995,9',Vocal,"guit solista, fl en sol/baja, cl b, sax ten, aco, arp, perc, vla, vcl",04-05-2004,Halle des Chartrons,"Burdeos, Francia","Ens. Musique Nouvelle, dir. M. Fusté-Lambezat",N/D,N/D
César Camarero,LUZ AZUL,-,1995,8'30'',Solo,guit,03-10-1995,Acquario Romano,"Roma, Italia",Stefano Cardi,N/D,N/D
César Camarero,Y ERA COMO SI...,-,1994,8',Cuarteto,cuarteto de cuerda,30-08-1995,Museo San Telmo,"San Sebastián, España",Cuarteto Moscú,N/D,"Título completo: ""...cesáramos de estar allí por un segundo interminable"". Premio P. Sorozábal."
César Camarero,ARIA,-,1994,9',Dúo,vla y pno (o vln y pno),20-02-1994,Círculo de Bellas Artes,"Madrid, España","T. Tichauer, D. Schneider",Fundación Caja Madrid para el CDMC,N/D
César Camarero,ATTRAVERSO,-,1993,8',Cuarteto,"fl, ob, cl, fg",13-07-1993,RomaEuropa Festival,"Roma, Italia",Cuarteto Echos,N/D,N/D
César Camarero,KLANGFARBENPHONIE,-,1993,13',Ensemble,"pno solista, fl, ob, cl, perc, arp, vln, vla, vcl",22-09-1994,Festival de Alicante,"Alicante, España","Ens. Musique Nouvelle, dir. M. Fusté-Lambezat",N/D,Premio Ciudat d'Alcoi 1994.
César Camarero,FINALE,-,1993,13',Solo,pno solo,26-05-1993,Auditorio Nacional,"Madrid, España",Hugo Goldenzweig,N/D,N/D
César Camarero,ILNAMIQUI,-,1992,7',Cuarteto,"fl, ob, cl, sax sop",27-11-1992,Festival Musica'900,"Trento, Italia",N/D,Festival Musica'900,N/D
César Camarero,MOSAICO I,-,1990-92,7',Dúo,"fl, vln",14-06-1993,Academia Española BBAA,"Roma, Italia","G. Pelura, M. Rogliano",N/D,N/D
César Camarero,MOSAICO II,-,1991,14',Ensemble,"fl, cl, cl b, tpa, tpt, tbn, vln, vla, vcl",29-06-1991,Festival Nieuwe Muziek,"Middelburg, Holanda","Xenakis Ensemble, dir. Diego Masson",CDMC,Seleccionada para Gaudeamus Music Week 1992.
César Camarero,EL SILENCIO VA MÁS DEPRISA AL REVÉS,-,1989*,9',Cuarteto,cuarteto de cuerda,05-09-1990,Gaudeamus Music Week,"Ámsterdam, Holanda",Xenakis Kwartet,N/D,*Corregido de 1898 en fuente original.
