Category,,,,,Scoring & Instrumentation,,,,,Electronics,Electronics,Electronics,Premiere,Premiere,Premiere,Premiere,Production & Rights,,,,,Multimedia Content,,,Context & Search,,,,,Additional Information
Original Title,Sub-title / Version,Year of Composition,Duration,Catalogue Number,Scoring Category,Number of Performers,Detailed Instrumentation,Soloist Instrument,Unusual Objects / Preparations,Use of Electronics,Type of Electronics,Required Software / Tech,Premiere Date,Premiere Venue,Premiere City,Premiere Performers,Commissioning,Publisher,Score Status,Availability of Materials,Copyright Society,Score Sample (Link/PDF),Audio/Video Link,Recording Type,Program Notes,Aesthetic / Style Tags,Language / Librettist,Technical Difficulty,Space Requirements,Info+
Original title of the work.,To indicate if it is a revision or an alternative version.,Year the work was completed.,Estimated duration in minutes.,"Catalogue number (Opus, BWV, etc.).","General category (Solo, Duo, Trio, Ensemble, Orchestra).",Total number of performers/ensembles required.,"Exact list of instruments (e.g., Fl, Cl in Bb, Pno, Vln, Vc).","If applicable, the main soloist instrument.","Non-conventional instruments or preparations (e.g., prepared piano).",Yes / No.,"Live electronics, fixed media, interactive, etc.","Max/MSP, Ableton, specific patches, multi-channel.",Date of the first performance.,"Venue of the premiere (Hall, auditorium).",City of the premiere.,Performers or ensemble that premiered the work.,Institution or person who commissioned the work.,Publisher holding the rights.,"Finished, in progress, unpublished.","For sale, rental, free download.","SGAE, ASCAP, BMI, SACEM, etc.",Link to a score sample (first few pages).,"Link to SoundCloud, YouTube, Vimeo.","Studio, live, MIDI.",Descriptive text about the work.,"Tags (Spectralism, Minimalism, Microtonality).",For vocal works: language and author of the text.,"Student, Advanced, Professional.",Special spatial arrangement of the performers/ensembles.,Any other relevant data.
