Core Information,,Performance Details,,Location,,,Performance Type,Performers,,Documentation,,,Feedback (Optional)
Work Title,Composer Name,Performance Date,Event / Festival Name,Venue,City,Country,Premiere Status,Ensemble / Soloist Name,Conductor,Program Notes (Used),Live Recording Link,Photo / Poster,Performance Note
Title of the performed work (linked to the database).,Composer of the work (linked to the database).,The specific date when the concert or event took place.,"Name of the festival, concert series, or season.","Concert hall, auditorium, or specific location.",City where the performance took place.,Country where the performance took place.,"Was it a World Premiere, National Premiere, or a standard performance?",The entity that performed the work (linked to profile).,"If applicable, the name of the conductor.",Specific program notes used for that performance.,"Link to YouTube, SoundCloud, or video of that specific performance.",Link to promotional material or photos of the event.,Short comment from the ensemble about the experience of performing the work.
